"Story","Title","Result","Date","Stability","Duration (s)"
"Test git hub feature","This is serenity way of providing details","SUCCESS","2021-05-13T16:18:47.677-04:00[America/New_York]","0.0","1.22"
"Simple spartan test","Sending hello using Spartan","SUCCESS","2021-05-13T16:18:41.768-04:00[America/New_York]","0.0","5.09"
